Suburb,cluster-1,cluster-2,cluster-3,cluster-4,cluster-5,Cluster group
Westminster,0.0,0.0,0.0,1.0,0.0,cluster-4
White Gum Valley,0.0,0.0,0.0,0.9325842696629213,0.06741573033707865,cluster-4
Willagee,0.0,0.0,0.0,0.9885057471264368,0.011494252873563218,cluster-4
Willetton,0.0,0.0,0.0,0.9642857142857143,0.03571428571428571,cluster-4
Wilson,0.0,0.0,0.0,1.0,0.0,cluster-4
Winthrop,0.0,0.0,0.0,0.8055555555555556,0.19444444444444445,cluster-4
Woodbridge,1.0,0.0,0.0,0.0,0.0,cluster-1
Woodlands,0.0,0.0,0.0,0.358695652173913,0.6413043478260869,cluster-5
Woodvale,0.0,0.0,0.0,1.0,0.0,cluster-4
Wooroloo,0.9655172413793104,0.034482758620689655,0.0,0.0,0.0,cluster-1
Wungong,1.0,0.0,0.0,0.0,0.0,cluster-1
Yanchep,0.0,0.0,1.0,0.0,0.0,cluster-3
Yangebup,0.0,0.0,0.0,1.0,0.0,cluster-4
Yokine,0.0,0.0,0.0,0.9411764705882353,0.058823529411764705,cluster-4
